Region,BeginDate,Income ($)
Port Vila; Vanuatu; Melanesia; Oceania,1930,20900
Fort-de-France; Martinique; Caribbean; Americas,1936,9300
Sanaa; Yemen; Western Asia; Asia,1941,5400
Lome; Togo; Western Africa; Africa,1946,11600
Luanda; Angola; Middle Africa; Africa,1941,9300
Juba; South Sudan; Middle Africa; Africa,1925,34400
Lima; Peru; South America; Americas,1941,34400
Juba; South Sudan; Middle Africa; Africa,1923,24100
Chisinau; Moldova; Eastern Europe; Europe,1918,9300
Willemstad; Curaçao; Caribbean; Americas,1886,12400
Astana; Kazakhstan; Central Asia; Asia,1936,6500
Dili; East Timor; South-Eastern Asia; Asia,1911,9000
Minsk; Belarus; Eastern Europe; Europe,1907,3100
Male; Maldives; Southern Asia; Asia,1900,6500
Taipei; Taiwan; Eastern Asia; Asia,1827,9300
Baghdad; Iraq; Western Asia; Asia,1923,9300
Mariehamn; Aland Islands; Northern Europe; Europe,1926,11600
Nouakchott; Mauritania; Western Africa; Africa,1846,24100
Noumea; New Caledonia; Melanesia; Oceania,1863,43100
Juba; South Sudan; Middle Africa; Africa,1927,9300
Windhoek; Namibia; Southern Africa; Africa,1867,11600
Marigot; Saint-Martin (French part); Caribbean; Americas,1940,20900
Algiers; Algeria; Northern Africa; Africa,1885,9300
Longyearbyen; Svalbard And Jan Mayen Islands; Northern Europe; Europe,1923,9300
San Juan; Puerto Rico; Caribbean; Americas,1926,11600
Bratislava; Slovakia; Eastern Europe; Europe,1941,5400
New Delhi; India; Southern Asia; Asia,1999,11600
Ottawa; Canada; Northern America; Americas,1864,20900
Nouakchott; Mauritania; Western Africa; Africa,1898,5400
Bratislava; Slovakia; Eastern Europe; Europe,1894,12400
Dushanbe; Tajikistan; Central Asia; Asia,1932,25800
Prague; Czech Republic; Eastern Europe; Europe,1921,9300
Castries; Saint Lucia; Caribbean; Americas,1930,9300
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1883,9300
San Marino; San Marino; Southern Europe; Europe,1888,5400
Moroni; Comoros; Eastern Africa; Africa,1898,25800
Funafuti; Tuvalu; Polynesia; Oceania,1913,22200
Phnom Penh; Cambodia; South-Eastern Asia; Asia,1900,12400
Bridgetown; Barbados; Caribbean; Americas,1937,20900
Fort-de-France; Martinique; Caribbean; Americas,1934,34400
Macao; Macau S.A.R.; Eastern Asia; Asia,1933,9000
Gustavia; Saint-Barthelemy; Caribbean; Americas,1935,9300
Porto-Novo; Benin; Western Africa; Africa,1928,34700
Kigali; Rwanda; Eastern Africa; Africa,1920,9300
Tunis; Tunisia; Northern Africa; Africa,1933,17200
Ulan Bator; Mongolia; Eastern Asia; Asia,1940,9000
Sofia; Bulgaria; Eastern Europe; Europe,1915,9300
Moroni; Comoros; Eastern Africa; Africa,2010,34400
Suva; Fiji Islands; Melanesia; Oceania,1904,9300
The Valley; Anguilla; Caribbean; Americas,1904,22200
Ouagadougou; Burkina Faso; Western Africa; Africa,1818,11600
Ljubljana; Slovenia; Southern Europe; Europe,1935,17200
Berlin; Germany; Western Europe; Europe,1902,22200
Brasilia; Brazil; South America; Americas,1930,17200
Nairobi; Kenya; Eastern Africa; Africa,1918,22200
Belmopan; Belize; Central America; Americas,1864,17200
Reykjavik; Iceland; Northern Europe; Europe,1948,11600
Brazzaville; Congo; Middle Africa; Africa,1897,11600
Khartoum; Sudan; Northern Africa; Africa,1937,12400
Buenos Aires; Argentina; South America; Americas,1950,12400
Doha; Qatar; Western Asia; Asia,1912,9300
Astana; Kazakhstan; Central Asia; Asia,1916,3100
Fort-de-France; Martinique; Caribbean; Americas,1895,22200
Paramaribo; Suriname; South America; Americas,1915,34400
Kiev; Ukraine; Eastern Europe; Europe,1910,11600
Dodoma; Tanzania; Eastern Africa; Africa,1927,11600
Kabul; Afghanistan; Southern Asia; Asia,1948,22200
The Valley; Anguilla; Caribbean; Americas,1912,9300
Philipsburg; Sint Maarten (Dutch part); Caribbean; Americas,1823,25800
Dublin; Ireland; Northern Europe; Europe,1928,43100
Brussels; Belgium; Western Europe; Europe,1896,17200
Amman; Jordan; Western Asia; Asia,1945,3100
Yaounde; Cameroon; Middle Africa; Africa,1913,20900
Minsk; Belarus; Eastern Europe; Europe,1827,20900
Vaduz; Liechtenstein; Western Europe; Europe,1937,6500
Nuku'alofa; Tonga; Polynesia; Oceania,1904,20900
Niamey; Niger; Western Africa; Africa,1922,12400
Bandar Seri Begawan; Brunei; South-Eastern Asia; Asia,1901,6500
Sanaa; Yemen; Western Asia; Asia,1908,6500
Berlin; Germany; Western Europe; Europe,1906,11600
Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,1928,9300
Pyongyang; Korea North; Eastern Asia; Asia,1940,12400
Port-au-Prince; Haiti; Caribbean; Americas,1942,6500
San Jose; Costa Rica; Central America; Americas,1939,9300
Abu Dhabi; United Arab Emirates; Western Asia; Asia,1887,42800
Damascus; Syria; Western Asia; Asia,1899,3100
N'Djamena; Chad; Middle Africa; Africa,1888,9300
Lome; Togo; Western Africa; Africa,1746,34400
Avarua; Cook Islands; Polynesia; Oceania,1943,17200
Port-au-Prince; Haiti; Caribbean; Americas,1897,11600
Berlin; Germany; Western Europe; Europe,1908,25800
Addis Ababa; Ethiopia; Eastern Africa; Africa,1917,17200
Suva; Fiji Islands; Melanesia; Oceania,1910,9000
George Town; Cayman Islands; Caribbean; Americas,1868,12400
San Marino; San Marino; Southern Europe; Europe,1943,17200
Yerevan; Armenia; Western Asia; Asia,1927,12400
Quito; Ecuador; South America; Americas,1939,12400
Tashkent; Uzbekistan; Central Asia; Asia,1986,17200
Brasilia; Brazil; South America; Americas,1928,22200
Rome; Italy; Southern Europe; Europe,1840,9300
Basse-Terre; Guadeloupe; Caribbean; Americas,1941,34400
Cayenne; French Guiana; South America; Americas,1890,9000
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1900,11600
Tehran; Iran; Southern Asia; Asia,1936,17200
Nicosia; Cyprus; Southern Europe; Europe,1902,11600
Kiev; Ukraine; Eastern Europe; Europe,1964,9300
West Island; Cocos (Keeling) Islands; Australia and New Zealand; Oceania,1943,17200
San Juan; Puerto Rico; Caribbean; Americas,1890,22200
Bandar Seri Begawan; Brunei; South-Eastern Asia; Asia,1929,17200
Mogadishu; Somalia; Eastern Africa; Africa,1914,22200
Nassau; Bahamas The; Caribbean; Americas,1943,17200
Nuuk; Greenland; Northern America; Americas,1926,3100
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1933,6500
Riga; Latvia; Northern Europe; Europe,1924,17200
Cockburn Town; Turks And Caicos Islands; Caribbean; Americas,1814,17200
Pago Pago; American Samoa; Polynesia; Oceania,1925,9300
Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,1902,20900
Georgetown; Guyana; South America; Americas,1953,17200
London; United Kingdom; Northern Europe; Europe,1939,9300
Stockholm; Sweden; Northern Europe; Europe,1858,5400
Skopje; Macedonia; Southern Europe; Europe,1843,6500
Manila; Philippines; South-Eastern Asia; Asia,1933,11600
Saint-Denis; Reunion; Eastern Africa; Africa,1943,9300
Cayenne; French Guiana; South America; Americas,1939,17200
Beijing; China; Eastern Asia; Asia,1918,22200
Dhaka; Bangladesh; Southern Asia; Asia,1936,20900
Brasilia; Brazil; South America; Americas,1948,5400
"Douglas, Isle of Man; Man (Isle of); Northern Europe; Europe",1925,6500
Bangui; Central African Republic; Middle Africa; Africa,1868,9000
Prague; Czech Republic; Eastern Europe; Europe,1907,6500
"Douglas, Isle of Man; Man (Isle of); Northern Europe; Europe",1865,5400
Bujumbura; Burundi; Eastern Africa; Africa,1937,9000
Hong Kong; Hong Kong S.A.R.; Eastern Asia; Asia,1907,9000
Banjul; Gambia The; Western Africa; Africa,1933,9300
Buenos Aires; Argentina; South America; Americas,1932,22200
Praia; Cape Verde; Western Africa; Africa,1936,22200
Antananarivo; Madagascar; Eastern Africa; Africa,1919,9300
Road Town; Virgin Islands (British); Caribbean; Americas,1953,9300
Podgorica; Montenegro; Southern Europe; Europe,1891,11600
Hagatna; Guam; Micronesia; Oceania,1903,9000
New Delhi; India; Southern Asia; Asia,1948,34400
New Delhi; India; Southern Asia; Asia,1921,9000
Canberra; Australia; Australia and New Zealand; Oceania,1813,49000
Torshavn; Faroe Islands; Northern Europe; Europe,1938,20900
Vaduz; Liechtenstein; Western Europe; Europe,1928,11600
Saipan; Northern Mariana Islands; Micronesia; Oceania,1933,5400
Madrid; Spain; Southern Europe; Europe,1880,17200
Maseru; Lesotho; Southern Africa; Africa,1957,17200
