,ConstituentID,DisplayName,Region,Gender,BeginDate,Wiki QID,Income ($)
0,1,Robert Arneson,Port Vila; Vanuatu; Melanesia; Oceania,Male,1930,Q6113656,20900
1,2,Doroteo Arnaiz,Fort-de-France; Martinique; Caribbean; Americas,Male,1936,Q164351,9300
2,3,Bill Arnold,Sanaa; Yemen; Western Asia; Asia,Male,1941,Q6668231,5400
3,4,Charles Arnoldi,Lome; Togo; Western Africa; Africa,Male,1946,Q1063584,11600
4,5,Per Arnoldi,Luanda; Angola; Middle Africa; Africa,Male,1941,Q663175,9300
5,6,Danilo Aroldi,Juba; South Sudan; Middle Africa; Africa,Male,1925,Q1281272,34400
6,7,Bill Aron,Lima; Peru; South America; Americas,Male,1941,Q216141,34400
7,9,David Aronson,Juba; South Sudan; Middle Africa; Africa,Male,1923,Q5230870,24100
8,10,Irene Aronson,Chisinau; Moldova; Eastern Europe; Europe,Female,1918,Q19748568,9300
9,11,Jean (Hans) Arp,Willemstad; Curaçao; Caribbean; Americas,Male,1886,Q153739,12400
10,12,Jüri Arrak,Astana; Kazakhstan; Central Asia; Asia,Male,1936,Q5128835,6500
11,13,J. Arrelano Fischer,Dili; East Timor; South-Eastern Asia; Asia,Male,1911,Q7154467,9000
12,15,Folke Arstrom,Minsk; Belarus; Eastern Europe; Europe,Male,1907,Q1682200,3100
13,16,Cristobal Arteche,Male; Maldives; Southern Asia; Asia,Male,1900,Q3082929,6500
14,18,Artko,Taipei; Taiwan; Eastern Asia; Asia,Non-Binary,1827,Q1086650,9300
15,19,Richard Artschwager,Baghdad; Iraq; Western Asia; Asia,Male,1923,Q568262,9300
16,21,Ruth Asawa,Mariehamn; Aland Islands; Northern Europe; Europe,Female,1926,Q7382874,11600
17,22,Isidora Aschheim,Nouakchott; Mauritania; Western Africa; Africa,Female,1846,Q319861,24100
18,23,Charles Robert Ashbee,Noumea; New Caledonia; Melanesia; Oceania,Male,1863,Q614071,43100
19,24,Donald Ashcraft,Juba; South Sudan; Middle Africa; Africa,Male,1927,Q2423904,9300
